module,label_name,object_class,physical_prefix,raw_description,clean_description,start_value,unit,is_broadcast,limits,axes,source_reference
VehCoorn,VehCoorn_facEgyElecCnsAuxWght_T,CURVE,fac,"Weighting factor of the transient energy consumption based on the total energy in system (high to medium energy level value near 1, low energy level value near 0). Tip The weighting allows to reduce the impact of the transient phase for low energy values. As for low energy it is possible that the transient phase will not be ﬁnished before the vehicle cannot drive anymore.","Weighting factor of the transient energy consumption based on the total energy in system (high to medium energy level value near 1, low energy level value near 0). Tip The weighting allows to reduce the impact of the transient phase for low energy values. As for low energy it is possible that the transient phase will not be ﬁnished before the vehicle cannot drive anymore.",,,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_facRateLimnMax_T,CURVE,fac,factor for maximum rate limiter for signal shaping of remaining driving range based on total energy,factor for maximum rate limiter for signal shaping of remaining driving range based on total energy,,,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_facRateLimnMin_T,CURVE,fac,factor for minimum rate limiter for signal shaping of remaining driving range based on total energy,factor for minimum rate limiter for signal shaping of remaining driving range based on total energy,,,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_facRngPredRawFiltg_T,CURVE,fac,"factor for signal shape ﬁlter boundary values: 0 = calculated predictive value is taken, 1= driven Distance is taken","factor for signal shape ﬁlter boundary values: 0 = calculated predictive value is taken, 1= driven Distance is taken",,,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20150"", ""page"": 155, ""parent_module"": null}"
VehCoorn,VehCoorn_facTDeltaCbn_C,VALUE,fac,Factor by which a degree Kelvin temperature difference of the cabin is weighted compared to a degree Kelvin temperature difference of the HVB. Start Value: 100 [−],Factor by which a degree Kelvin temperature difference of the cabin is weighted compared to a degree Kelvin temperature difference of the HVB. :,100.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_facTolrHvBatt_C,VALUE,fac,Toleranze factor to avoid implausible results of the square root for current calculation Start Value: 0 [−],Toleranze factor to avoid implausible results of the square root for current calculation :,0.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 1.0, ""type"": ""implicit_factor"", ""rationale"": ""fac with dimensionless unit is normalized""}",,"{""table_id"": ""Table 20135"", ""page"": 109, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_flgDrvModDpd_C,VALUE,,Switch to activate calculation of average consumption for propulsion based on drive mode. Start Value: 0 [−],Switch to activate calculation of average consumption for propulsion based on drive mode. :,0.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20140"", ""page"": 124, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_idxDeltaTCbn_T,CURVE,i,Mapping of cabin temperature difference to indices describing the heating/cooling/steady−- state of the cabin,Mapping of cabin temperature difference to indices describing the heating/cooling/steady−- state of the cabin,,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_idxT_T,CURVE,i,Mapping of the environment temperature to the difference classes of the temperature based weighting of the auxiliary consumption. It is assumed that at tindex 2 the lowest average au- xiliary consumption occurs.,Mapping of the environment temperature to the difference classes of the temperature based weighting of the auxiliary consumption. It is assumed that at tindex 2 the lowest average au- xiliary consumption occurs.,,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_maskVehSpdVldySq_C,VALUE,,"Calibration mask to determine vehicle speed validity( value shall be 36 if frozen state is allo- wed and 52 shall be given if replacement is also considered) Start Value: 4 [−] Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually! 5 Extended diagnostic information (XDI)","Calibration mask to determine vehicle speed validity( value shall be 36 if frozen state is allo- wed and 52 shall be given if replacement is also considered) : Caution The tables above with SI=""APPH_LABTAB"" must be edited by calibration parameter editor. Do not edit these tables manually! 5 Extended diagnostic information (XDI)",4.0,dimensionless,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20180"", ""page"": 184, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_pwrIniPha_T,CURVE,pwr,Power requirement per second in the initial phase based on the HVB temperature diffe- rence. No Speciﬁcation:[W] X: VehCoorn_tDeltaHvBatt[−] [4],Power requirement per second in the initial phase based on the HVB temperature diffe- rence. No Speciﬁcation:[W],,,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}","[{""axis"": ""X"", ""signal"": ""VehCoorn_tDeltaHvBatt"", ""unit"": ""dimensionless"", ""size"": 4, ""breakpoints"": null}]","{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_ratSocRngPrdcDispHi_C,VALUE,rat,HV−Battery SOC high threshold for post processing for HMI display. Standard Value : 0 [ % ],HV−Battery SOC high threshold for post processing for HMI display. :,0.0,%,false,"{""lower"": 0.0, ""upper"": 100.0, ""type"": ""implicit_percent_ratio"", ""rationale"": ""Unit/prefix indicates percentage or ratio scale""}",,"{""table_id"": ""Table 20168"", ""page"": 174, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_ratSocRngPrdcDispLo_C,VALUE,rat,HV−Battery SOC low threshold for post processing for HMI display. Standard Value : 0 [ % ],HV−Battery SOC low threshold for post processing for HMI display. :,0.0,%,false,"{""lower"": 0.0, ""upper"": 100.0, ""type"": ""implicit_percent_ratio"", ""rationale"": ""Unit/prefix indicates percentage or ratio scale""}",,"{""table_id"": ""Table 20168"", ""page"": 174, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_ratTrms_C,VALUE,rat,Transmission ration between e−machine and wheel Start Value: 10 [−] VehCoorn_omEm_AX Axis for angular speed for tables to calculated maximum and minimum torque No Speciﬁcation: X:[1/s] [4],Transmission ration between e−machine and wheel : VehCoorn_omEm_AX Axis for angular speed for tables to calculated maximum and minimum torque No Speciﬁcation:,10.0,dimensionless,false,"{""lower"": 0.0, ""upper"": 100.0, ""type"": ""implicit_percent_ratio"", ""rationale"": ""Unit/prefix indicates percentage or ratio scale""}",,"{""table_id"": ""Table 20135"", ""page"": 109, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_tDeltaCbnMax_C,VALUE,,Maximum absolut temperature difference of the cabin after scaling. Start Value: 5 [K],Maximum absolut temperature difference of the cabin after scaling. :,5.0,K,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_tEgyPerDeltaKElecCnsAux_C,VALUE,,Temperature−Sensitivity of the average ﬁlter for learning the energy required for heating/- cooling a degree Kelvin of HVB and cabin in the transient phase of the conditioning. Start Value: 200 [K] VehCoorn_tTiPerDeltaKElecCnsAux− Tra_C Time−sensitivity of the average time to heat/cool a degree Kelvin of the HVB. Start Value: 4000 [K],Temperature−Sensitivity of the average ﬁlter for learning the energy required for heating/- cooling a degree Kelvin of HVB and cabin in the transient phase of the conditioning. : VehCoorn_tTiPerDeltaKElecCnsAux− Tra_C Time−sensitivity of the average time to heat/cool a degree Kelvin of the HVB. :,4000.0,K,false,"{""lower"": null, ""upper"": null, ""type"": ""unbounded"", ""rationale"": ""no explicit or implicit domain rule matched""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
VehCoorn,VehCoorn_tiCdngMax_C,VALUE,ti,"The maximum time the conditioning is allowed to take. This is to prevent a system with a s- teady deviation, e.g., open window in the cabin, from staying in the conditioning phase fore- ver. Hint This value should always be greater than what is achievable via VehCoorn_tiIni− PhaDur_T. Start Value: 1500 [s]","The maximum time the conditioning is allowed to take. This is to prevent a system with a s- teady deviation, e.g., open window in the cabin, from staying in the conditioning phase fore- ver. Hint This value should always be greater than what is achievable via VehCoorn_tiIni− PhaDur_T. :",1500.0,s,false,"{""lower"": 0.0, ""upper"": null, ""type"": ""implicit_non_negative"", ""rationale"": ""time prefix implies non-negative duration""}",,"{""table_id"": ""Table 20120"", ""page"": 93, ""parent_module"": ""Standard""}"
